,FIPS,property crimes,violent crimes
1352,27027,1031,41
1353,27029,118,19
1354,27031,122,10
1355,27033,177,14
1356,27035,1393,90
1357,27037,10482,344
1358,27039,286,34
1359,27041,828,19
1360,27043,158,14
1361,27045,111,3
1362,27047,484,37
1363,27049,870,45
1364,27051,110,8
1365,27053,43197,5936
1366,27055,207,9
1367,27057,553,16
1368,27059,859,18
1369,27061,692,27
1370,27063,116,12
1371,27065,385,26
1372,27067,983,57
1373,27069,78,0
1374,27071,321,16
1375,27073,72,3
1376,27075,150,8
1377,27077,51,5
1378,27079,414,18
1379,27081,5,1
1380,27083,551,42
1381,27085,758,36
1382,27087,51,12
1383,27089,108,5
1384,27091,405,16
1385,27093,324,14
1386,27095,693,36
1387,27097,553,21
1388,27099,1067,47
1389,27101,97,1
1390,27103,580,23
1391,27105,310,35
1392,27107,43,3
1393,27109,3261,223
1394,27111,913,40
1395,27113,267,12
1396,27115,851,30
1397,27117,77,4
1398,27119,477,44
1399,27121,85,6
1400,27123,19534,2455
1401,27125,398,60
1402,27127,334,22
1403,27129,197,11
1404,27131,1179,63
1405,27133,90,50
1406,27135,214,14
1407,27137,6726,433
1408,27139,2680,136
1409,27141,1982,81
1410,27143,18,0
1411,27145,4049,251
1412,27147,572,26
1413,27149,182,10
1414,27151,139,11
1415,27153,389,17
1416,27155,71,9
1417,27157,203,7
1418,27159,210,17
1419,27161,346,16
1420,27163,5933,177
1421,27165,174,10
1422,27167,105,2
1423,27169,793,51
1424,27171,2509,71
1425,27173,86,8
1426,28000,68887,6887
1427,28001,1370,103
1428,28003,127,6
1429,28005,4,4
1430,28007,196,19
1431,28009,0,0
1432,28011,1047,90
1433,28013,0,0
1434,28015,0,0
1435,28017,49,36
1436,28019,90,13
1437,28021,138,82
1438,28023,8,2
1439,28025,376,36
1440,28027,1142,151
1441,28029,0,0
1442,28031,175,9
1443,28033,5129,243
1444,28035,2418,218
1445,28037,0,0
1446,28039,120,18
1447,28041,24,9
1448,28043,862,98
1449,28045,714,21
1450,28047,6128,279
1451,28049,14310,1749
1452,28051,16,2
1453,28053,58,105
1454,28055,0,0
1455,28057,99,2
1456,28059,4549,321
1457,28061,44,0
1458,28063,50,38
1459,28065,0,0
1460,28067,2033,399
1461,28069,0,0
1462,28071,585,17
1463,28073,886,86
1464,28075,2445,245
1465,28077,0,0
1466,28079,24,0
1467,28081,2273,187
1468,28083,1654,222
1469,28085,682,43
1470,28087,1442,172
1471,28089,1967,167
1472,28091,100,6
1473,28093,972,170
1474,28095,428,47
1475,28097,21,10
1476,28099,0,0
1477,28101,26,4
1478,28103,47,18
1479,28105,965,104
1480,28107,1027,86
1481,28109,1132,85
1482,28111,0,0
1483,28113,1223,87
1484,28115,0,0
1485,28117,291,10
1486,28119,0,0
1487,28121,2269,148
1488,28123,40,12
1489,28125,0,0
1490,28127,173,33
1491,28129,0,0
1492,28131,318,42
1493,28133,178,186
1494,28135,87,31
1495,28137,554,18
1496,28139,150,25
1497,28141,83,15
1498,28143,252,23
1499,28145,294,14
1500,28147,0,0
1501,28149,2048,269
1502,28151,2742,195
1503,28153,112,21
1504,28155,32,13
1505,28157,0,0
1506,28159,89,23
1507,28161,0,0
1508,28163,0,0
1509,29000,216112,29645
1510,29001,510,81
1511,29003,210,23
1512,29005,44,3
1513,29007,454,39
1514,29009,769,102
1515,29011,210,40
1516,29013,386,51
1517,29015,308,65
1518,29017,123,12
1519,29019,5275,527
1520,29021,3929,374
1521,29023,1819,161
1522,29025,113,15
1523,29027,1534,86
1524,29029,965,85
1525,29031,2994,318
1526,29033,70,11
1527,29035,38,1
1528,29037,2077,151
1529,29039,223,21
1530,29041,32,2
1531,29043,1148,168
1532,29045,57,9
1533,29047,8748,1640
1534,29049,272,30
1535,29051,2124,286
1536,29053,476,21
1537,29055,480,26
1538,29057,78,9
1539,29059,293,49
1540,29061,89,5
1541,29063,180,17
1542,29065,293,31
1543,29067,311,57
1544,29069,1095,88
1545,29071,2654,274
1546,29073,362,18
1547,29075,48,3
1548,29077,16728,1236
1549,29079,212,27
1550,29081,151,7
1551,29083,657,67
1552,29085,121,3
1553,29087,86,11
1554,29089,74,6
1555,29091,1501,114
1556,29093,118,28
1557,29095,35341,5781
1558,29097,5670,506
1559,29099,6021,628
1560,29101,1267,87
1561,29103,107,4
1562,29105,1147,108
1563,29107,671,43
1564,29109,1257,123
1565,29111,138,19
1566,29113,825,107
1567,29115,188,30
1568,29117,133,18
1569,29119,531,108
1570,29121,215,38
1571,29123,195,37
1572,29125,81,12
1573,29127,1692,154
1574,29129,29,3
1575,29131,531,99
1576,29133,298,64
1577,29135,180,22
1578,29137,159,37
1579,29139,214,21
1580,29141,458,87
1581,29143,195,66
1582,29145,1973,168
1583,29147,450,47
1584,29149,59,27
1585,29151,179,10
1586,29153,152,43
1587,29155,608,111
1588,29157,274,11
1589,29159,1760,197
1590,29161,1532,125
1591,29163,276,26
1592,29165,3488,642
1593,29167,681,146
1594,29169,904,203
1595,29171,28,2
1596,29173,183,30
1597,29175,631,41
1598,29177,398,41
1599,29179,50,11
1600,29181,343,27
1601,29183,7793,672
1602,29185,221,14
1603,29186,224,30
1604,29187,1691,188
1605,29189,34687,3549
1606,29195,570,42
1607,29197,10,5
1608,29199,48,3
1609,29201,1198,266
1610,29203,73,16
1611,29205,86,0
1612,29207,467,49
1613,29209,706,126
1614,29211,93,14
1615,29213,1857,301
1616,29215,350,28
1617,29217,753,68
1618,29219,885,101
1619,29221,310,37
1620,29223,192,34
1621,29225,536,69
1622,29227,22,4
1623,29229,291,47
1624,29510,31098,7474
1625,30000,25747,2848
1626,30001,125,24
1627,30003,230,105
1628,30005,34,4
1629,30007,95,10
1630,30009,103,22
1631,30011,2,0
1632,30013,3118,210
1633,30015,93,98
1634,30017,326,55
1635,30019,3,0
1636,30021,254,12
1637,30023,139,28
1638,30025,22,1
1639,30027,124,24
1640,30029,3177,345
1641,30031,2357,193
1642,30033,0,0
1643,30035,426,181
1644,30037,0,0
1645,30039,33,0
1646,30041,568,83
1647,30043,57,17
1648,30045,13,3
1649,30047,643,101
1650,30049,1398,134
1651,30051,0,0
1652,30053,382,38
1653,30055,18,1
1654,30057,101,13
1655,30059,14,4
1656,30061,11,13
1657,30063,3303,320
1658,30065,58,9
1659,30067,250,53
1660,30069,0,0
1661,30071,72,5
1662,30073,44,10
