,FIPS,Age 18 and over,Voting Age Fraction
2050,38047,1570,0.7889447236180904
2051,38049,4216,0.7814643188137164
2052,38051,2296,0.817372730509078
2053,38053,4669,0.7341194968553459
2054,38055,7195,0.8028341887971435
2055,38057,6625,0.7864434947768281
2056,38059,20910,0.7611663208474391
2057,38061,5843,0.7615013684347712
2058,38063,2566,0.8208573256557902
2059,38065,1436,0.7778981581798483
2060,38067,5813,0.7841629569674895
2061,38069,3419,0.7847142529263255
2062,38071,8936,0.7803685267662213
2063,38073,4176,0.7652556349642661
2064,38075,1936,0.7838056680161943
2065,38077,12659,0.7756264934746645
2066,38079,9277,0.6656382291741407
2067,38081,2957,0.7722642987725254
2068,38083,1110,0.8402725208175624
2069,38085,2637,0.6349626775824705
2070,38087,581,0.7991746905089409
2071,38089,19013,0.7856936237034589
2072,38091,1554,0.7868354430379747
2073,38093,16769,0.794739336492891
2074,38095,1814,0.8076580587711487
2075,38097,6311,0.7771210442063785
2076,38099,8652,0.7781275294540876
2077,38101,47173,0.7648642075395217
2078,38103,3443,0.8183979082481578
2079,38105,17233,0.7693990534869185
2080,39000,8805753,0.7632947554995864
2081,39001,21415,0.7500875656742557
2082,39003,80886,0.7607000780581392
2083,39005,40463,0.7614558045879674
2084,39007,77490,0.7634708415027045
2085,39009,54508,0.8417313958336551
2086,39011,34283,0.7461098174062548
2087,39013,56545,0.8031960227272728
2088,39015,33808,0.7538687954332605
2089,39017,275526,0.7484475592861217
2090,39019,22199,0.7698363157164655
2091,39021,30057,0.7496072025338554
2092,39023,105690,0.7640259374118974
2093,39025,146773,0.7436702928107092
2094,39027,31778,0.7558991436726926
2095,39029,84257,0.7813076659155609
2096,39031,28022,0.7593832145470313
2097,39033,33651,0.7685684268225836
2098,39035,989860,0.7732544241876946
2099,39037,39746,0.7505051077248438
2100,39039,29434,0.7540026129057048
2101,39041,123710,0.7101036656066677
2102,39043,59934,0.7775658739734558
2103,39045,107747,0.7372054517091327
